CONNECTION,PHYSICAL WELL-BEING,HONESTY,PLAY,PEACE,AUTONOMY,MEANING
acceptance,air,authenticity,joy,beauty,choice,awareness
affection,food,integrity,humor,communion,freedom,celebration of life
appreciation,movement/exercise,presence,,ease,independence,challenge
belonging,rest/sleep,,,equality,space,clarity
cooperation,sexual expression,,,harmony,spontaneity,competence
communication,safety,,,inspiration,,consciousness
closeness,shelter,,,order,,contribution
community,touch,,,,,creativity
companionship,water,,,,,discovery
compassion,,,,,,efficacy
consideration,,,,,,effectiveness
consistency,,,,,,growth
empathy,,,,,,hope
inclusion,,,,,,learning
intimacy,,,,,,mourning
love,,,,,,participation
mutuality,,,,,,purpose
nurturing,,,,,,self-expression
respect/self-respect,,,,,,stimulation
safety,,,,,,to matter
security,,,,,,understanding
stability,,,,,,
support,,,,,,
to know and be known,,,,,,
to see and be seen,,,,,,
to understand and,,,,,,
be understood,,,,,,
trust,,,,,,
warmth,,,,,,
